,Question,extents,upper level,timespan,Tag In Osm,Question type,ordinary1,ordinary2,ordinary3,ordinary4,ordinary5,ordinary6,ordinary7,ordinary8,ordinary9,ordinary10,ordinary103,ordinary102,ordinary11,op_type
0,How many buildings are within 3 minutes of driving time from fire stations in Oleander,Oleander,,,"building=*, highway=*",done,Data queries,Network analysis,classification,Data queries,Overlay analysis,,,,,,,,,"network analysis,classification,data queries,overlay analysis"
1,How many luxury hotels are in Happy Valley ski resort,Happy Valley ski resort,,,"tourism=hotel, stars=*",done,Data queries,,,,,,,,,,,,,
2,How many streetlights for each district in San Diego,San Diego,,,highway=street_lamp,done,Data queries,Overlay analysis,Data queries,,,,,,,,,,,"overlay analysis,data queries"
3,What are the areas within a four-minute drive of each fire station at 2 a.m. on Tuesday in Utrecht,Utrecht,,,,done,Data queries,network analysis,classification,Data queries,Overlay analysis,,,,,,,,,"network analysis,classification,data queries,overlay analysis"
4,What are the countries where literacy rates are rising or falling in Africa between 1990 and 2015,Africa ,,between 1990 and 2015,,done,Data editing,,,,,,,,,,,,,
5,What are the four fire stations with shortest network-based paths to 1202 Twin Peaks Blvd in San Francisco,San Francisco,,,"highway=*, name=Twin Peaks Boulevard, amenity=fire_station",done,Data queries,Network analysis,Data queries,,,,,,,,,,,"network analysis,data queries"
6,What are the four fire stations within 3 minutes of travel time from a fire in San Francisco,San Francisco,,,,done,Data queries,Network analysis,classification,Data queries,Overlay analysis,Data queries,,,,,,,,"network analysis,classification,data queries,overlay analysis,data queries"
7,What are the land use inside the flood zones in Oleander,Oleander,,,,done,Data queries,Overlay analysis,Data queries,,,,,,,,,,,"overlay analysis,data queries"
8,What are the median household income within 1.5 miles of library branches in Palm city,Palm city,,,amenity=library,done,Data queries,Buffer,Overlay analysis,Data editing,Data queries,,,,,,,,,"buffer,overlay analysis,data editing,data queries"
9,What are the political leaning for each county in the United States,the United States,,,,done,Data editing,classification,,,,,,,,,,,,classification
10,What are the two fire stations closest to each school in Utrecht,Utrecht,,,"amenity=fire_station, amenity=school",done,Data queries,Network analysis,Data queries,,,,,,,,,,,"network analysis,data queries"
11,What are the vegetation areas larger than 6000 square meters in the Cape Peninsula,the Cape Peninsula,,,"nature : glacier, landuse =forest, wetland=mangrove ",done,Data queries,Geometry measurement,Data queries,,,,,,,,,,,"geometry measurement,data queries"
12,What are the vote totals of an election for each precinct in Dallas,Dallas,,,,done,Data editing,Data queries,,,,,,,,,,,,data queries
13,What area are within 50 km from family physician services in Saskatchewan,Saskatchewan,Canada,,amenity=doctor,done,Data queries,Buffer,Overlay analysis,,,,,,,,,,,"buffer,overlay analysis"
14,What areas are at least 3000 meters from the rivers in Spain,Spain,,,waterway=river,done,Data queries,Buffer,Overlay analysis,,,,,,,,,,,"buffer,overlay analysis"
15,What areas are inside 1000 foot of schools in El Cajon,El Cajon,,,"amenity=school, amenity=kindergarten",done,Data queries,Buffer,Overlay analysis,,,,,,,,,,,"buffer,overlay analysis"
16,What areas are minimum 3000 meters and maximum 5000 meters from the roads in UK,UK,,,highway=*,done,Data queries,Buffer,Buffer,Overlay analysis,Overlay analysis,,,,,,,,,"buffer,buffer,overlay analysis,overlay analysis"
17,What areas are more than 5000 meters from the roads in Spain,Spain,,,,done,Data queries,Buffer,Overlay analysis,,,,,,,,,,,"buffer,overlay analysis"
18,What areas are not flood plain in Houston,Houston,,,,done,Data queries,Overlay analysis,,,,,,,,,,,,overlay analysis
19,What areas are not green belt areas in Houston,Houston,,,,done,Data queries,Overlay analysis,,,,,,,,,,,,overlay analysis
20,What areas are not park in Houston,Houston,,,leisure=park,done,Data queries,,,,,,,,,,,,,
21,What areas are not wetlands in Houston,Houston,,,natural=wetland,done,Data queries,,,,,,,,,,,,,
22,What areas are outside 150 meters from hospitals in Houston,Houston,,,amenity=hospital,done,Data queries,Buffer,Overlay analysis,,,,,,,,,,,"buffer,overlay analysis"
23,What areas are outside 150 meters from schools in Houston,Houston,,,amenity=school,done,Data queries,Buffer,Overlay analysis,,,,,,,,,,,"buffer,overlay analysis"
24,What areas are outside 155 meters from nature reserve districts in Houston,Houston,,,leisure=nature_reserve,done,Data queries,Buffer,Overlay analysis,,,,,,,,,,,"buffer,overlay analysis"
25,What areas are outside 250 meters of human settlement in the Cape Peninsula,the Cape Peninsula,,,residential=*,done,Data queries,Buffer,Overlay analysis,,,,,,,,,,,"buffer,overlay analysis"
26,What areas are outside 300 meters from streams in Houston,Houston,,,waterway=stream,done,Data queries,Buffer,Overlay analysis,,,,,,,,,,,"buffer,overlay analysis"
27,What areas are outside 3000 meters of the rivers in Spain,Spain,,,waterway=river,done,Data queries,Buffer,Overlay analysis,,,,,,,,,,,"buffer,overlay analysis"
28,What areas are outside 5 km of water bodies in Assam,Assam,India,,"landuse=aquaculture, basin, salt_pond",done,Data queries,Buffer,Overlay analysis,,,,,,,,,,,"buffer,overlay analysis"
29,What areas are outside 5000 meters of the roads in Spain,Spain,,,highway=*,done,Data queries,Buffer,Overlay analysis,,,,,,,,,,,"buffer,overlay analysis"
30,What areas are outside 60 meters from residence in Houston,Houston,,,residential=*,done,Data queries,Buffer,Overlay analysis,,,,,,,,,,,"buffer,overlay analysis"
31,What areas are outside 60 meters from water body in Houston,Houston,,,"landuse=aquaculture, basin, salt_pond",done,Data queries,Buffer,Overlay analysis,,,,,,,,,,,"buffer,overlay analysis"
32,What areas are within 10 miles of current transmission lines with a voltage greater than 400 in Colorado,Colorado,,,power=line,done,Data queries,Buffer,Overlay analysis,,,,,,,,,,,"buffer,overlay analysis"
33,"What areas are within 10 minutes, 30 minutes, and 60 minutes of driving time from private hospitals in Sichuan in China",Sichuan,China,,amenity=hospital,done,Data editing,Data queries,network analysis,classification,Data queries,Overlay analysis,Data queries,Overlay analysis,Data queries,Overlay analysis,,,,"data queries,network analysis,classification,data queries,overlay analysis,data queries,overlay analysis,data queries,overlay analysis"
34,What areas are within 100 meters of cameras in Salford,Salford,,,"man_made=surveillance, highway=speed_camera",done,Data queries,Buffer,Overlay analysis,,,,,,,,,,,"buffer,overlay analysis"
35,What areas are within 100 meters of the hospitals in Oleander,Oleander,,,amenity=hospital,done,Data queries,Buffer,Overlay analysis,,,,,,,,,,,"buffer,overlay analysis"
36,What areas are within 1000 meters of roads in Assam ,Assam,India,,highway=*,done,Data queries,Buffer,Overlay analysis,,,,,,,,,,,"buffer,overlay analysis"
37,What areas are within 1000 meters of the arcades in Oleander,Oleander,,,leisure=amusement_arcade,done,Data queries,Buffer,Overlay analysis,,,,,,,,,,,"buffer,overlay analysis"
38,What areas are within 1000 meters of the major transport routes in Amsterdam,Amsterdam,,,highway=motorway,done,Data queries,Buffer,Overlay analysis,,,,,,,,,,,"buffer,overlay analysis"
39,What areas are within 1000 meters of the schools in Oleander,Oleander,,,amenity=school,done,Data queries,Buffer,Overlay analysis,,,,,,,,,,,"buffer,overlay analysis"
40,What areas are within 15 minutes walking distance of a metro rail station in Kochi ,Kochi,India,,"highway=*,railway=station,station=subway",done,Data queries,Network analysis,classification,Data queries,Overlay analysis,,,,,,,,,"network analysis,classification,data queries,overlay analysis"
41,What areas are within 20 minutes driving time from flower stores in Oleander,Oleander,,,shop=florist,done,Data queries,Network analysis,classification,Data queries,Overlay analysis,,,,,,,,,"network analysis,classification,data queries,overlay analysis"
42,What areas are within 2000 meters of the playgrounds in Oleander,Oleander,,,leisure=playground,done,Data queries,Buffer,Overlay analysis,,,,,,,,,,,"buffer,overlay analysis"
43,What areas are within 3 minutes of driving time from the nearest fire station (from my current location) in Oleander,Oleander,,,,done,Data queries,Network analysis,Data queries,Network analysis,classification,Data queries,Overlay analysis,,,,,,,"network analysis,data queries,network analysis,classification,data queries,overlay analysis"
44,What areas are within 300 meters of runways in Schiphol airport,Schiphol airport,,,aeroway=runway,done,Data queries,Buffer,Overlay analysis,,,,,,,,,,,"buffer,overlay analysis"
